key,source,target
Str_WD_Race_Story_01_NextPreview/1_1_1,"危険な香りのする男、秋山渉。
彼との出逢いが運命を変えていく！",
Str_WD_Race_Story_01_NextPreview/1_1_2,渉との別れの先で待ち受けていたのは、新たな出会い‥！,
Str_WD_Race_Story_01_NextPreview/1_1_3,再びぶっちぎられた池谷の顔に浮かぶのは、まさかの‥笑み？,
Str_WD_Race_Story_01_NextPreview/1_1_4,"秋名スピードスターズに交流戦を申し込みに来た謎の走り屋チーム。
彼らの正体とは‥！",
Str_WD_Race_Story_01_NextPreview/1_1_5,中村賢太をちぎった帰り道、その先で待っていた男とは‥！,
Str_WD_Race_Story_01_NextPreview/1_2_1,"秋名で行われた交流戦。
そこにハチロクに乗ったひとりの青年が現れる。",
Str_WD_Race_Story_01_NextPreview/1_2_2,"交流戦の熱気は未だ収まらない。
秋名のハチロク、彼は一体何者なのか。",
Str_WD_Race_Story_01_NextPreview/1_2_3,"突如叩きつけられた挑戦状。
妙義ナイトキッズの中里毅とは‥！",
Str_WD_Race_Story_01_NextPreview/1_2_4,"妙義ナイトキッズから一本の連絡が届く。
それは危険な夜への招待状――！",
Str_WD_Race_Story_01_NextPreview/1_2_5,"息抜きで訪れた碓氷峠。
そこで待ち受けていたのは、地元最速の二人組。",
Str_WD_Race_Story_01_NextPreview/1_3_1,"暗い夜の闇の中、
碓氷峠最速の二人、インパクトブルーが立ちはだかる‥！",
Str_WD_Race_Story_01_NextPreview/1_3_2,"白い彗星の噂を聞いて向かった赤城山。
そこで出逢った男とは‥？",
Str_WD_Race_Story_01_NextPreview/1_3_3,"中村賢太のバトルの後、
突如現れたのは、闇を切り裂く黄色いFD！",
Str_WD_Race_Story_01_NextPreview/1_3_4,"走り去っていく高橋啓介。
彼とすれ違うように現れたのは、見覚えのあるあの男‥！",
Str_WD_Race_Story_01_NextPreview/1_3_5,"二本目のバトルを要求する秋山渉。
そんな彼の背後から、不穏な音が鳴り響く。",
Str_WD_Race_Story_01_NextPreview/1_4_1,"突如現れた謎の男、岩城清次。
彼もまた、高橋兄弟を探しに来た挑戦者だった。",
Str_WD_Race_Story_01_NextPreview/1_4_2,"久しぶりに再会した池谷たちに追われる中、
突如現れたのは、謎のクルマだった。",
Str_WD_Race_Story_01_NextPreview/1_4_3,"偶然出会ったナイトキッズの二人。
彼らは白い彗星率いるレッドサンズとバトルをするらしい。",
Str_WD_Race_Story_01_NextPreview/1_4_4,"再び訪れた赤城山。
そこには、探していたあの男の姿があった。",
Str_WD_Race_Story_01_NextPreview/1_4_5,"涼介に勧められて訪れたいろは坂。
待ち受けていたのは、屈強な走り屋軍団だった。",
Str_WD_Race_Story_01_NextPreview/1_5_1,"エンペラーのメンバーが敗れ、引きずりだされた岩城清次。
1vs1のバトルが幕を開ける。",
Str_WD_Race_Story_01_NextPreview/1_5_2,"秋名に現れた見慣れぬクルマ。
秋名のハチロクを探しに来たという、彼の正体とは。",
Str_WD_Race_Story_01_NextPreview/1_5_3,"謎の男、小柏カイ。
彼は幼い頃から走りの英才教育を受けてきた強者だった。",
Str_WD_Race_Story_01_NextPreview/1_5_4,"激闘の余韻が残るいろは坂。
そこにエンペラーのリーダー、須藤京一が現れる。",
Str_WD_Race_Story_01_NextPreview/1_5_5,"涼介に呼び出され赤城に向かう道中、
雪の秋名でガラの悪い男に絡まれる。",
Str_WD_Race_Story_01_NextPreview/1_6_1,"赤城に着くと涼介はいなかった。
代わりにいたのは、まさかの二人組。",
Str_WD_Race_Story_01_NextPreview/1_6_2,"賢太と渉とのバトル後に現れた涼介。
赤城の白い彗星はなにを語るのか。",
Str_WD_Race_Story_01_NextPreview/1_6_3,"高橋涼介からの依頼。
それはふたりの走り屋と戦うことだった。",
Str_WD_Race_Story_01_NextPreview/1_6_4,"ついに出逢う噂の走り屋。
ドライバーの藤原拓海は、強い覚悟を瞳に秘めていた。",
Str_WD_Race_Story_01_NextPreview/1_6_5,"走り出した伝説は止まらない。
高橋涼介が新しく作ったチームとは‥！！",
Str_WD_Race_Story_01_NextPreview/1_7_1,"赤城山の麓で再会した、須藤京一。
言葉少なに、彼はバトルを要求してくる。",
Str_WD_Race_Story_01_NextPreview/1_7_2,"プロジェクトDを追って訪れた、もみじライン。
地元の走り屋たちが放つ熱気が、峠を包んでいた。",
Str_WD_Race_Story_01_NextPreview/1_7_3,"セブンスターリーフのヒルクライムエース、川井淳郎。
400馬力を誇る彼の愛車が、もみじラインを駆け上る！！",
Str_WD_Race_Story_01_NextPreview/1_7_4,"藤原拓海に敗れ、一度は前線から退いた末次トオル。
彼の中に眠る闘争心が、再び燃え上がる！！",
Str_WD_Race_Story_01_NextPreview/1_7_5,"プロジェクトDの影を追って訪れた、八方ヶ原。
そこは、速さを追求する猛者たちの集う峠だった！！",
Str_WD_Race_Story_01_NextPreview/1_8_1,"八方ヶ原の攻略法を伝授する須藤京一。
彼が東堂塾にこだわる理由とは。",
Str_WD_Race_Story_01_NextPreview/1_8_2,"東堂塾OBで現役プロレーサーの舘智幸。
彼の勧めで、東堂塾の練習に合流することになった。",
Str_WD_Race_Story_01_NextPreview/1_8_3,"東堂塾の現役二強の一角、酒井。
彼の不気味な笑みが牙を剥く！！",
Str_WD_Race_Story_01_NextPreview/1_8_4,"東堂塾エースの呼び声が高い二宮大輝。
天性のブレーキングセンスを有する彼の強さとは！！",
Str_WD_Race_Story_01_NextPreview/1_8_5,"久しぶりに訪れた秋名山。
そこに現れたのは、尋常じゃなく速い奴！！",
Str_WD_Race_Story_01_NextPreview/1_9_1,"謎のインプレッサの正体は掴めぬまま、
次に挑むは掟破りの連合チーム！！",
Str_WD_Race_Story_01_NextPreview/1_9_2,"三人の前に現れたのは、黒いFD。
哀しげなロータリーサウンドが峠に響く‥！！",
Str_WD_Race_Story_01_NextPreview/1_9_3,"ようやく現れた、坂本と名乗るラリースト。
彼が乗るのは、まさかのマシン！？",
Str_WD_Race_Story_01_NextPreview/1_9_4,"坂本との熱戦に触発されたのは、やっぱりあの男！！
進化した彼のレビンが、峠を駆ける！！",
Str_WD_Race_Story_01_NextPreview/1_9_5,"プロジェクトDの埼玉遠征が最終局面を迎える中、
インパクトブルーの本拠地、碓氷峠におかしな奴等が現れた！！",
Str_WD_Race_Story_01_NextPreview/1_10_1,"こそこそと去っていく東京から来た二人。
すれ違うように現れたのは、碓氷峠の天使たち！！",
Str_WD_Race_Story_01_NextPreview/1_10_2,"インパクトブルーとの最後のバトルを終え、一路向かうは土坂峠。
嫌な予感が胸をよぎる。",
Str_WD_Race_Story_01_NextPreview/1_10_3,"突如呼び止めてきた、ランエボに乗った男たち。
彼らは最近、ひどい目にあったようだ。",
