key,source,target
/2F521CFF4CF3FFFE8A65239C3DA45927,.,
/3415DF2B4484D85D2FE3C389A25361F8,.,
/264E1BBE46478DD7A8D455A143711E55,.,
/07A0AE2D406A7017A2B465BB24D096A3,Connecting,
/B59390B0490D9AEE82B1D0ABDA85F9B5,Connecting,
/22F6D3B34C5B89FADB9B76B7AAC1089C,888,
/5331D21E4A6A97FFE6E625ABB895EE31,888,
/C94028E343AE776D7209D5A707657132,上り,
/7DFC22A84354FC75B98873847DE8B5B7,下り,
/D31CD1264D3042EB2BFC5DB6A2E59182,000,
/12747DF5489DCFD0DE8A9B9CA6CB8236,000,
/80E741424EE7C6B609EA7F9C629D1965,"0'00""000",
/D35290D24C3389E304E50BAD00A2AC5D,"0'00""000",
/DC62DC4C4BDAE20B3D66E1BDC1252574,000,
/62E53DC9461B18E7D8C02FB8A9CFE0AF,タイムトライアル,
/7089B1214DC5247D7E95468ECD1808ED,勝,
/71A6F18D4120B669527618AC0A7B74EF,オンライン勝利数,
/CB14F2C5400BE875E5038580FD551315,藤原 拓海,
/519A63E84B8E5923CB3217982AECA5CC,"あああああ■■■■■あああああ■■■■■あああああ■■■■■
あああああ■■■■■あああああ■■■■■あああああ■■■■■",
/6F60E1BE4A4331CC861D65A9634B17CE,下り,
/290EB85C46AB0428ECC045BA27E168BF,Lv.10,
/CC7F4DB04BF20DDF6B0015A2A7D84E33,上り,
/1D44EE3C4519ADAD632190A14DEF7C4E,現在の強豪Lv,
/366F03464332B62DE4B7E2AC7104938B,あなたの評判,
/72EEAF494993090AD9DB978758314DA7,撃破した最高走り屋グレード,
/AECD02C648899611FDA8C0A189FE09FC,スーパータイムトライアル祭,
/2A2BA1294419AE3B3EABF1B04366FB64,9999,
/436C60C140D5D340105AC8B4C09EA101,5,
/11EB4FFF42DD22D0731E30A1C364BA1E,/,
/0345E8984B7641827A4F2E80AAB2F0A1,ポイント,
/8B0203CB49686FF288677D8F47DE742E,"1,000",
/B09A7802470AA314E8254DB794EEB0FE,9999,
/99748A1B4676EBE507229C9D181AD9D6,ポイント,
/2B4641CE44689E8893FF59932DA4673C,リタイア,
/31EBB3694CA0BB289A0940A6AD377956,999999,
