key,source,target
/0D9889FF4D0B147669F07996617C042E,Dive into the SPEED,
/FDCB758C411979842BA0CBBE5B68B38F,Waiting for you,
/8ADEE5624D658E6BC749859FE6A61B9E,Starlight Spada,
/23F9F5D14B64953F2F99C3A7BC02564D,Don't stop your way,
/A020801847E101D13CA28EB6A58BD751,Good Energy Flow,
/46AB84D5416C8E0F69AF1C87E57AB988,Super Sonic,
/CAC338064FB5241B63B227903EBF5281,High Speed Live,
/8249CB13468B4317D96F53AD0743522C,Midnight Tournament,
/F4FA37464718CF4C90AAE6855EEB582E,Drive Your Ambition,
/56F8CE9441AEFCBB67BD3697664E37CC,Turn It Around,
/8CA227E24040CC2B881FDB9F33982960,SCRAMBLE EYES,
/9CF4F2AA48A9D102C3CDBBB382295492,DUAL ROZES,
/FD8F35AE4EB8E6E73E0142B4E9EA2D7F,EDGE OF TIME,
/9F3D10804E2AB99C6D7F75A15E62B976,God only knows,
/AF3AC6764A88B960DDC2CC914D1E199C,PANDORA ZONE,
/51753AFE46D07781CBE0E1A80CC2DFB5,Crazy Hot,
/4FF0F98D4442A1DDECDCF1B74B988AC4,ANGEL WiNG (Crazy REMIX with DiGiTAL WiNG),
/079053D34939C5476B0698AFA3AD2BAE,"Endless, Sleepless Night",
/EEED776946DDD32E1A9B448F2D1A3D6B,STARVING RAVEN,
/8F5A4682430332423ED66D88E1D19CEE,Horse Power Desire,
/3CA574F34EF89F21D36C55AAF497A85E,TOFU CONNECTION,
/EBA220A04F2971446FBB33AAC7C40BED,Fever on the Road,
/6CC47A0747019DF4FF02FFA3FB69305E,NITRO RAINBOW,
/D32057644130CCB495B257B893640511,IGNITE THE POWER,
/A24F51CB4CBC7104BA8FFD8C83B5BBCD,Chase The Ghost,
/6CACA5284494A2BAE80120B082603775,BURN INSIDE,
/EF0566D94C167F0876C4058A20C32F2C,Endless Seeker,
/007B5AB543E11D8722EF5E86A375C5FA,Fantastic World,
/5DBB4E6C4929BEC2C59A289C8E5ECD04,BEAT DOWN,
/D2CC84B84A6256EF08523DABB0F3CD53,PRESERVED VAMPIRE,
/1563F5F54BC6FF1AD3F143BF6BDC035B,HEARTSTRINGS,
/3D0283014B4B2AA92C7DA2944D5DA24E,No Life Queen,
/730405D9403473A4ED640989EE17C6E1,DARTH KILLER,
/02259DFE4DC81EC3BF3CD7AA87F6772A,Grip & Break down !!,
/0358D54E4F616CA132EBB0A551A5D607,Don't Break Me Down,
/8417814E48CBC9AFF70117AC4D09B51D,RANDOM,
