key,source,target
ST_GameMessage/Operation_Confirm,決定,
ST_GameMessage/Operation_Confirm2,完了,
ST_GameMessage/Operation_Select,選択,
ST_GameMessage/Operation_Back,戻る,
ST_GameMessage/Operation_ReturningToTitle,"タイトル
に戻る",
ST_GameMessage/Operation_Next,次へ,
ST_GameMessage/Operation_Close,閉じる,
ST_GameMessage/Operation_Switch,切替,
ST_GameMessage/Operation_InitializeSettings,初期設定,
ST_GameMessage/Operation_PressAndHoldToSimpleConfig,"長押し：
簡易コンフィグ",
ST_GameMessage/Operation_DressUpShop,"ドレスアップ
ショップ",
ST_GameMessage/Operation_StorySkip,"長押しで
スキップ",
ST_GameMessage/RewardWindow_Receive,XX個受け取ります,
ST_GameMessage/RewardWindow_ConvertTokens,最大所持数を超えて獲得した報酬を、キャッシュに変換します,
ST_GameMessage/RewardWindow_InstallParts,ショップ＆カスタマイズで付け替えができます,
ST_GameMessage/RewardDialog_Receive,報酬を受け取りました,
ST_GameMessage/BannerWindow_ViewDetails,詳細表示,
ST_GameMessage/ResultGrade_InstoreBattleRank,店内バトルランク昇格！！,
ST_GameMessage/ResultGrade_OnlineBattleRank,オンラインバトルランク昇格！！,
ST_GameMessage/ResultGrade_StoryRank,ストーリーランク昇格！！,
ST_GameMessage/ResultGrade_TrialRank,トライアルランク昇格！！,
ST_GameMessage/ResultGrade_Promoted,XXに昇格しました！,
ST_GameMessage/ErrorCode_8307,"ERROR 8307
通信エラーが発生しました。
今回のプレイデータは正しく保存されなかった可能性があります。",
ST_GameMessage/DT_StoryClearCond_DefeatRival,<ClearTextRivalName>{name}</>に勝利せよ,
ST_GameMessage/DT_StoryClearCond_OvertakeRival,<ClearTextRivalName>{name}</>を追い抜け,
ST_GameMessage/DT_StoryClearCond_DontBeOvertaken,<ClearTextRivalName>{name}</>に抜かれるな,
ST_GameMessage/DT_StoryClearCond_DontFallBehind,<ClearTextRivalName>{name}</>に<ClearTextValue>{value}</>ｍ以上離されるな,
ST_GameMessage/DT_StoryClearCond_DefeatMoreThan,<ClearTextRivalName>{name}</>を<ClearTextValue>{value}</>ｍ以上離して勝利せよ,
ST_GameMessage/DT_StoryClearCond_FinishRaceWithin,<ClearTextRivalName>{name}</>と<ClearTextValue>{value}</>ｍ以内でゴールせよ,
ST_GameMessage/RaceTime_Overall,総合,
ST_GameMessage/RaceTime_Car,車種,
ST_GameMessage/RaceTime_Instore,店内,
ST_GameMessage/RaceTime_PersonalBest,自己ベスト,
ST_GameMessage/RaceTime_Ghost,ゴースト,
ST_GameMessage/RaceTime_Line Guide,ラインガイド,
ST_GameMessage/DT_Advertise_InstoreBattleMode,現在、店内バトルモードはプレイできません。,
