key,source,target
DT_WidgetSetting_Story_01_Episode/1_No_a,第１話,
DT_WidgetSetting_Story_01_Episode/1_Sub,伝説前夜,
DT_WidgetSetting_Story_01_Episode/2_No_a,第２話,
DT_WidgetSetting_Story_01_Episode/2_Sub,峠のセオリー,
DT_WidgetSetting_Story_01_Episode/3_No_a,第３話,
DT_WidgetSetting_Story_01_Episode/3_Sub,秋名スピードスターズ,
DT_WidgetSetting_Story_01_Episode/4_No_a,第４話,
DT_WidgetSetting_Story_01_Episode/4_Sub,仲間にならないか？,
DT_WidgetSetting_Story_01_Episode/5_No_a,第５話,
DT_WidgetSetting_Story_01_Episode/5_Sub,赤城からの刺客,
DT_WidgetSetting_Story_01_Episode/6_No_a,第１話,
DT_WidgetSetting_Story_01_Episode/6_Sub,邂逅、白い彗星,
DT_WidgetSetting_Story_01_Episode/7_No_a,第２話,
DT_WidgetSetting_Story_01_Episode/7_Sub,電光石火の余韻,
DT_WidgetSetting_Story_01_Episode/8_No_a,第３話,
DT_WidgetSetting_Story_01_Episode/8_Sub,すれ違う天才,
DT_WidgetSetting_Story_01_Episode/9_No_a,第４話,
DT_WidgetSetting_Story_01_Episode/9_Sub,不敗神話のR,
DT_WidgetSetting_Story_01_Episode/10_No_a,第５話,
DT_WidgetSetting_Story_01_Episode/10_Sub,デンジャラスナイト,
DT_WidgetSetting_Story_01_Episode/11_No_a,第１話,
DT_WidgetSetting_Story_01_Episode/11_Sub,青い衝撃,
DT_WidgetSetting_Story_01_Episode/12_No_a,第２話,
DT_WidgetSetting_Story_01_Episode/12_Sub,彗星に憧れて,
DT_WidgetSetting_Story_01_Episode/13_No_a,第３話,
DT_WidgetSetting_Story_01_Episode/13_Sub,刺客、再び,
DT_WidgetSetting_Story_01_Episode/14_No_a,第４話,
DT_WidgetSetting_Story_01_Episode/14_Sub,高橋兄弟,
DT_WidgetSetting_Story_01_Episode/15_No_a,第５話,
DT_WidgetSetting_Story_01_Episode/15_Sub,遅れてきた熱血漢,
DT_WidgetSetting_Story_01_Episode/16_No_a,第１話,
DT_WidgetSetting_Story_01_Episode/16_Sub,影、迫る,
DT_WidgetSetting_Story_01_Episode/17_No_a,第２話,
DT_WidgetSetting_Story_01_Episode/17_Sub,アウト・オブ・眼中,
DT_WidgetSetting_Story_01_Episode/18_No_a,第３話,
DT_WidgetSetting_Story_01_Episode/18_Sub,秋名のハチロク‥？,
DT_WidgetSetting_Story_01_Episode/19_No_a,第４話,
DT_WidgetSetting_Story_01_Episode/19_Sub,変わる勢力図,
DT_WidgetSetting_Story_01_Episode/20_No_a,第５話,
DT_WidgetSetting_Story_01_Episode/20_Sub,再会、白い彗星,
DT_WidgetSetting_Story_01_Episode/21_No_a,第１話,
DT_WidgetSetting_Story_01_Episode/21_Sub,エンペラー,
DT_WidgetSetting_Story_01_Episode/22_No_a,第２話,
DT_WidgetSetting_Story_01_Episode/22_Sub,壮絶、ドッグファイト,
DT_WidgetSetting_Story_01_Episode/23_No_a,第３話,
DT_WidgetSetting_Story_01_Episode/23_Sub,小柏という男,
DT_WidgetSetting_Story_01_Episode/24_No_a,第４話,
DT_WidgetSetting_Story_01_Episode/24_Sub,掟破りの地元走り,
DT_WidgetSetting_Story_01_Episode/25_No_a,第５話,
DT_WidgetSetting_Story_01_Episode/25_Sub,講習会,
DT_WidgetSetting_Story_01_Episode/26_No_a,第１話,
DT_WidgetSetting_Story_01_Episode/26_Sub,雪、敵、ヤンキー,
DT_WidgetSetting_Story_01_Episode/27_No_a,第２話,
DT_WidgetSetting_Story_01_Episode/27_Sub,彗星不在のレイトショー,
DT_WidgetSetting_Story_01_Episode/28_No_a,第３話,
DT_WidgetSetting_Story_01_Episode/28_Sub,涼介からの依頼,
DT_WidgetSetting_Story_01_Episode/29_No_a,第４話,
DT_WidgetSetting_Story_01_Episode/29_Sub,レッドサンズのナンバーツー,
DT_WidgetSetting_Story_01_Episode/30_No_a,第５話,
DT_WidgetSetting_Story_01_Episode/30_Sub,秋名のハチロク,
/F823515944AFAC6A93BED592DD8995D0,第１話,
/8DB3FF07413B1BA2F1F9A39FFF0B8586,プロジェクトD,
/A0D7D4F94C30EE793FCBEDAE61C1C66E,第２話,
/7DDD98AE455D648F17DD2D97CA742701,彗星の影を追え,
/E895515349F00B9D0143C4BAC19D2021,第３話,
/1940E859480B46FEEC8B70A8C47CCBBF,まだ見ぬ強者たち,
/0E3AB4E948682CE221FCA3A034689E57,第４話,
/56E9526445559BBD43A373867AC9F796,馬力と技術,
/683496A44E5764929C8D52965A74A3AF,第５話,
/1CF038404D1451691BBD1284DB27ECFA,復活、カミカゼダウンヒラー,
/050C53DA4B49177D6E840E86ADF2AD79,第１話,
/9B79B2B1449C7D988FF7989D5E7737BC,東堂塾,
/5247998C4F50E895008C32A71BC59235,第２話,
/BD05AD1145A2B3D9ECC134B30282A3DA,伝説の男,
/CA209B6B42BE0F00FA6CDEAC2C54302A,第３話,
/8726C8A8407CD9B142E3C598B8E16E8A,塾生の実力,
/69BEFE9A41BC7C0D54A8BF80CC1F904D,第４話,
/B090D85649397B6462E05A832DF3B9AE,仕掛けられた罠,
/F977CCF04C43AB6739F76D9CDBCE4CA4,第５話,
/B00CAA6A40998069585FA093B6E63F02,現役最強の男,
/2F735EBF4ECA19C4937E9A8098BF4F6F,第１話,
/3D713F264F63012CE33C85A559860862,悪夢のマシン,
/642C43F54124031D87B008BE413428E1,埼玉北西エリア連合,
/4921540B42DEC72E7AD11D806F43B870,恋する乙女,
/192685F8459C342A6ADFBB9F47D47EE9,反則級の隠しダマ,
/C8DF80EC4A2B3D3337DCA497C31BB9C7,スーパーチャージド レビン,
/90D490064AD185D90FD837827ACF6991,第１話,
/0DE05A8D483CDD932EF51BA780F0BAA1,東京から来た二人,
