key,source,target
DT_TrialRank/2_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/3_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/4_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/5_RewardReason,タイムトライアルランクがブルー★になった！,
DT_TrialRank/6_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/7_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/8_RewardReason,タイムトライアルランクがレッド★になった！,
DT_TrialRank/9_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/10_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/11_RewardReason,タイムトライアルランクがクリアグリーン★になった！,
DT_TrialRank/12_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/13_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/14_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/15_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/16_RewardReason,タイムトライアルランクがクリアブルー★になった！,
DT_TrialRank/17_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/18_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/19_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/20_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/21_RewardReason,タイムトライアルランクがクリアレッド★になった！,
DT_TrialRank/22_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/23_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/24_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/25_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/26_RewardReason,タイムトライアルランクがエメラルド★になった！,
DT_TrialRank/27_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/28_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/29_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/30_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/31_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/32_RewardReason,タイムトライアルランクがサファイア★になった！,
DT_TrialRank/33_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/34_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/35_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/36_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/37_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/38_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/39_RewardReason,タイムトライアルランクがルビー★になった！,
DT_TrialRank/40_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/41_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/42_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/43_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/44_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/45_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/46_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/47_RewardReason,タイムトライアルランクがブラックダイヤモンド★になった！,
DT_TrialRank/48_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/49_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/50_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/51_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/52_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/53_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/54_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/55_RewardReason,タイムトライアルランクがブラックダイヤモンド★★★★★★★★★になった！,
DT_TrialRank/56_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/57_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/58_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/59_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/60_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/61_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/62_RewardReason,タイムトライアルランクがあがった！,
DT_TrialRank/63_RewardReason,タイムトライアルランクがあがった！,
