key,source,target
DT_OnlineRank/DB39707A47B94DF94498A3BE56CCE4AF,オンラインランクがあがった！,
DT_OnlineRank/D8D94C174B0694A60A016BA47E52A346,オンラインランクがあがった！,
DT_OnlineRank/C6991F0E47AB206F8745B2B7E7D74869,オンラインランクがあがった！,
DT_OnlineRank/E2DD08C14DA4A29CA31BD39048E3B527,オンラインランクがブルー★になった！,
DT_OnlineRank/72AE6ECB4CC7E51CD04775B94331D71D,オンラインランクがあがった！,
DT_OnlineRank/B9A2A2E64EB1ADAD6A074690035E96C8,オンラインランクがあがった！,
DT_OnlineRank/E8FC7DDA4413942A96F2A8B030CF466A,オンラインランクがレッド★になった！,
DT_OnlineRank/7BB085B74E8FC94CAB43CD8025565E67,オンラインランクがあがった！,
DT_OnlineRank/6A760D794B092F70F52ABA9BD1F9BDBF,オンラインランクがあがった！,
DT_OnlineRank/EECB8A57470D1BF832505483808A5694,オンラインランクがクリアグリーン★になった！,
DT_OnlineRank/5F881CB84C40B1483ECF058632DEB0CF,オンラインランクがあがった！,
DT_OnlineRank/794405CB46EBD6774971178894AD3D57,オンラインランクがあがった！,
DT_OnlineRank/B0D309E04599EFCE6AFBAF9F0F78FC2C,オンラインランクがあがった！,
DT_OnlineRank/7646C0C241EF799AC6D6ADA38962F24B,オンラインランクがあがった！,
DT_OnlineRank/BAD86A7D40443D8057C98FB74287F949,オンラインランクがクリアブルー★になった！,
DT_OnlineRank/37919136426ECB3CF2C7238A32CAC1B8,オンラインランクがあがった！,
DT_OnlineRank/FB2F531E41E80B5E6B1B8D88B959C0F0,オンラインランクがあがった！,
DT_OnlineRank/41D7123D44C5B1A52899B998CFB324BE,オンラインランクがあがった！,
DT_OnlineRank/2F91E7C74EA80BB7CF3AE38933713390,オンラインランクがあがった！,
DT_OnlineRank/49171B2340C1025EA4A329A0ABC2D2A1,オンラインランクがクリアレッド★になった！,
DT_OnlineRank/1FCD290C4A6951B9F614DA89542664C0,オンラインランクがあがった！,
DT_OnlineRank/840813F140CF36D32DC7B3B1D5B1E710,オンラインランクがあがった！,
DT_OnlineRank/EFDE22F8458F2611E487F99FB03B52CD,オンラインランクがあがった！,
DT_OnlineRank/A1391C4040E693C06638B0B8F23C89B7,オンラインランクがあがった！,
DT_OnlineRank/5DC43F1E40E3798692BD8C9BEE1D612C,オンラインランクがエメラルド★になった！,
DT_OnlineRank/B8494CB2494CA4F3C06C78BCCFCC4824,オンラインランクがあがった！,
DT_OnlineRank/B1D9B8EA4D0AA08B0FC20AB829086641,オンラインランクがあがった！,
DT_OnlineRank/F8E9B9E241C2EF095D0AEE8286950A70,オンラインランクがあがった！,
DT_OnlineRank/5F7D516840393A95F4CA5CA36FD1A0FD,オンラインランクがあがった！,
DT_OnlineRank/B9EFA0C1473EC4EF1FAD8CB251D018EC,オンラインランクがあがった！,
DT_OnlineRank/EA9EA67F4DF1C70F9D675A8FA951B4D9,オンラインランクがサファイア★になった！,
DT_OnlineRank/1C648CBE4D9163D368558FAB41F7E037,オンラインランクがあがった！,
DT_OnlineRank/75CA1DED43448B038AA6D0A07719EFB6,オンラインランクがあがった！,
DT_OnlineRank/2793766447621D26167DF1B3A3B89D6F,オンラインランクがあがった！,
DT_OnlineRank/36CD773141F4CEC7EFA5BFAFEDCC97E9,オンラインランクがあがった！,
DT_OnlineRank/4E6A39B64F7DD9AC5047EC9F872C25C8,オンラインランクがあがった！,
DT_OnlineRank/7996B5B1414DBA2E2D70C19F712C17F3,オンラインランクがあがった！,
DT_OnlineRank/C5412E9C462BB3EFF90AD5833A06B810,オンラインランクがルビー★になった！,
DT_OnlineRank/268A571E46B025CA33D531A4AD9BD4C2,オンラインランクがあがった！,
DT_OnlineRank/4378C4054F556BFFD9147A8BCBA03C9A,オンラインランクがあがった！,
DT_OnlineRank/4A4F0A174449648B2DF0708FC467ED3A,オンラインランクがあがった！,
DT_OnlineRank/13B6ACE043D24BC82141CBA1615EA06B,オンラインランクがあがった！,
DT_OnlineRank/76BDB6A14B5DCD30B97DDCA8A44F527A,オンラインランクがあがった！,
DT_OnlineRank/6C97A2FC46E3849DAFB1619EAEE37109,オンラインランクがあがった！,
DT_OnlineRank/4393FEF5466F878A89ACCA8814053457,オンラインランクがあがった！,
